Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,RiskLevel,StudentID
Business Administration,1,4.17,4.84,0.0,1,3,2,0,2.0,0,3,1,6th,3.22,3.35,Medium,S001
Business Administration,0,4.92,5.0,2.0,0,3,0,0,2.0,0,3,1,7th,3.467,3.467,Medium,S002
Business Administration,1,5.0,4.83,1.0,1,3,0,2,2.0,0,4,1,3rd,4.0,3.72,Low,S003
Business Administration,1,4.0,4.5,3.0,0,5,2,2,2.0,0,5,1,4th,3.8,3.75,Low,S004
Business Administration,0,2.19,3.17,1.0,1,3,0,1,2.0,0,3,1,4th,3.94,3.94,Low,S005
Computer Science and Engineering,1,4.75,4.05,1.0,1,3,0,2,,0,4,0,2nd,1.0,1.0,High,S006
Computer Science and Engineering,1,4.42,5.0,3.0,1,4,0,2,,0,2,0,2nd,1.06,1.06,High,S007
Computer Science and Engineering,1,4.5,4.81,2.0,0,3,1,2,2.0,0,4,1,11th,2.95,1.25,High,S008
Computer Science and Engineering,1,3.32,4.5,,0,4,0,2,,0,3,1,5th,1.42,1.44,High,S009
Computer Science and Engineering,0,3.33,4.95,,0,3,0,2,,0,4,0,2nd,1.5,1.5,High,S010
Computer Science and Engineering,1,4.17,5.0,1.0,1,3,0,2,,0,4,0,2nd,1.56,1.56,High,S011
Computer Science and Engineering,1,3.58,4.56,2.0,1,4,0,2,,0,4,0,9th,1.57,1.57,High,S012
Computer Science and Engineering,1,4.5,4.75,1.0,1,1,0,2,,0,2,1,8th,1.57,1.57,High,S013
Computer Science and Engineering,1,4.5,4.75,2.0,1,1,0,2,,0,2,0,8th,1.0,1.6,High,S014
Computer Science and Engineering,1,3.83,5.0,0.0,1,2,0,2,,0,4,0,2nd,1.62,1.62,High,S015
Computer Science and Engineering,1,4.33,4.64,,0,5,0,2,,0,4,0,2nd,1.69,1.69,High,S016
Computer Science and Engineering,0,4.51,4.75,1.0,1,1,0,2,,0,2,1,8th,1.83,1.71,High,S017
Computer Science and Engineering,1,4.5,4.75,1.0,1,1,0,2,,0,2,0,2nd,1.69,1.72,High,S018
Computer Science and Engineering,1,3.92,4.72,3.0,1,3,0,2,,0,2,0,5th,1.33,1.75,High,S019
Computer Science and Engineering,1,3.92,5.0,3.0,1,4,0,2,,0,2,1,2nd,1.75,1.75,High,S020
Computer Science and Engineering,1,4.08,5.0,0.0,1,3,0,2,,0,2,0,2nd,1.25,1.75,High,S021
Computer Science and Engineering,1,3.67,4.86,1.0,0,2,0,0,2.0,0,3,1,3rd,1.79,1.8,High,S022
Computer Science and Engineering,1,4.0,5.0,1.0,0,3,0,2,,0,2,0,2nd,1.63,1.86,High,S023
Computer Science and Engineering,1,3.75,4.73,2.0,1,5,0,2,,0,4,1,2nd,1.88,1.88,High,S024
